1,305
2,303
3,425
4,275
5,197
6,615
7,281
8,466
9,692
10,656
11,294
12,674
13,1455
14,1454
15,1063
16,1066
17,512
18,433
19,294
20,528
21,758
22,497
23,598
24,957
25,163
26,661
27,616
28,521
29,331
30,275
31,266
32,762
33,365
34,781
35,753
36,442
37,1251
38,462
39,230
40,281
41,564
42,510
43,316
44,1060
45,402
46,990
47,392
48,536
49,509
50,636
51,973
52,234
53,675
54,416
55,488
56,487
57,546
58,596
59,326
60,312
61,369
62,1507
63,2398
64,183
65,1718
66,280
67,302
68,302
69,1326
70,549
71,460
72,302
73,288
74,288
75,269
76,308
77,2241
78,515
79,526
80,320
81,400
82,301
83,302
84,263
85,297
86,300
87,953
88,308
89,1019
90,787
91,307
92,371
93,512
94,303
95,285
96,302
97,666
98,490
99,551
100,411
