"State","region","Date","Home.Value","Structure.Cost","Land.Value","Land.Share..Pct.","Home.Price.Index","Land.Price.Index"
"AK","West",20101,224952,160599,64352,28.6,1.481,1.552
"AK","West",20102,225511,160252,65259,28.9,1.484,1.576
"AK","West",20093,225820,163791,62029,27.5,1.486,1.494
"AK","West",20094,224994,161787,63207,28.1,1.481,1.524
"AK","West",20074,234590,155400,79190,33.8,1.544,1.885
"AK","West",20081,233714,157458,76256,32.6,1.538,1.817
"AK","West",20082,232999,160092,72906,31.3,1.534,1.74
"AK","West",20083,232164,162704,69460,29.9,1.528,1.66
"AK","West",20084,231039,164739,66299,28.7,1.521,1.587
"AK","West",20091,229395,165424,63971,27.9,1.51,1.536
"AK","West",20092,227421,165048,62373,27.4,1.497,1.5
"AK","West",19852,140207,78032,62175,44.3,0.923,1.2
"AK","West",19853,139244,78634,60610,43.5,0.916,1.177
"AK","West",19854,138153,79225,58928,42.7,0.909,1.151
"AK","West",19861,136885,79944,56942,41.6,0.901,1.12
"AK","West",19862,135164,80469,54695,40.5,0.89,1.08
"AK","West",19863,132599,80931,51668,39,0.873,1.022
"AK","West",19864,129190,81330,47860,37,0.85,0.948
"AK","West",19871,125163,81408,43755,35,0.824,0.861
"AK","West",19872,121016,81765,39252,32.4,0.796,0.772
"AK","West",19873,117600,82143,35458,30.2,0.774,0.698
"AK","West",19874,115738,82531,33207,28.7,0.762,0.654
"AK","West",19881,115764,82983,32781,28.3,0.762,0.648
"AK","West",19882,116617,83389,33228,28.5,0.768,0.659
"AK","West",19883,117388,83813,33575,28.6,0.773,0.667
"AK","West",19884,116848,84263,32585,27.9,0.769,0.649
"AK","West",19891,114426,84788,29638,25.9,0.753,0.593
"AK","West",19892,110811,85266,25545,23.1,0.729,0.513
"AK","West",19893,107853,85732,22121,20.5,0.71,0.445
"AK","West",20103,226294,162003,64291,28.4,1.489,1.556
"AK","West",20104,226970,167186,59784,26.3,1.494,1.45
"AK","West",20111,227516,173238,54278,23.9,1.497,1.321
"AK","West",20112,227743,179343,48400,21.3,1.499,1.18
"AK","West",20113,227642,180886,46755,20.5,1.498,1.143
"AK","West",20114,227390,181000,46390,20.4,1.497,1.137
"AK","West",20121,227293,181112,46181,20.3,1.496,1.135
"AK","West",20122,227962,181227,46735,20.5,1.5,1.151
"AK","West",20123,229033,181345,47688,20.8,1.507,1.177
"AK","West",20124,230396,181467,48929,21.2,1.516,1.211
"AK","West",20131,231891,181592,50299,21.7,1.526,1.248
"AK","West",19823,128004,61493,66510,52,0.842,1.147
"AK","West",19824,130748,63864,66884,51.2,0.861,1.169
"AK","West",19831,132906,66480,66426,50,0.875,1.18
"AK","West",19832,134932,68885,66047,48.9,0.888,1.187
"AK","West",19833,137000,71115,65885,48.1,0.902,1.198
"AK","West",19834,138933,73009,65924,47.5,0.914,1.211
"AK","West",19841,140569,74389,66180,47.1,0.925,1.228
"AK","West",19842,141642,75408,66234,46.8,0.932,1.24
"AK","West",19843,142119,76157,65962,46.4,0.935,1.245
"AK","West",19844,141877,76751,65126,45.9,0.934,1.239
"AK","West",19851,141108,77410,63698,45.1,0.929,1.221
"AK","West",19952,136082,97576,38506,28.3,0.896,0.821
"AK","West",19953,137273,97999,39274,28.6,0.903,0.838
"AK","West",19954,138399,98359,40040,28.9,0.911,0.856
"AK","West",19961,139434,98682,40752,29.2,0.918,0.871
"AK","West",19962,140313,99018,41295,29.4,0.923,0.884
"AK","West",19963,141114,99350,41764,29.6,0.929,0.895
"AK","West",19964,141908,99692,42216,29.7,0.934,0.907
"AK","West",19971,142609,100048,42561,29.8,0.939,0.915
"AK","West",19972,143267,100451,42816,29.9,0.943,0.923
"AK","West",19973,143960,100885,43075,29.9,0.948,0.931
"AK","West",19974,144741,101354,43387,30,0.953,0.94
"AK","West",19981,145638,101924,43714,30,0.959,0.952
"AK","West",19982,146647,102425,44223,30.2,0.965,0.966
"AK","West",19983,147651,102920,44731,30.3,0.972,0.98
"AK","West",19984,148550,103404,45146,30.4,0.978,0.991
"AK","West",19991,149240,103895,45345,30.4,0.982,0.998
"AK","West",19992,149710,104368,45342,30.3,0.985,0.999
"AK","West",19993,150036,104853,45182,30.1,0.987,0.997
"AK","West",19894,106541,86176,20365,19.1,0.701,0.41
"AK","West",19901,107338,86487,20851,19.4,0.706,0.419
"AK","West",19902,110159,86851,23308,21.2,0.725,0.469
"AK","West",19903,113469,87187,26282,23.2,0.747,0.531
"AK","West",19904,116688,87483,29204,25,0.768,0.592
"AK","West",19911,119472,87852,31619,26.5,0.786,0.646
"AK","West",19912,121573,88168,33405,27.5,0.8,0.686
"AK","West",19913,123041,88562,34479,28,0.81,0.712
"AK","West",19914,124025,89112,34913,28.1,0.816,0.725
"AK","West",19921,124706,89989,34718,27.8,0.821,0.729
"AK","West",19922,125247,90788,34459,27.5,0.824,0.727
"AK","West",19923,125754,91552,34202,27.2,0.828,0.724
"AK","West",19924,126327,92177,34150,27,0.831,0.724
"AK","West",19931,127066,92469,34597,27.2,0.836,0.731
"AK","West",19932,128004,92782,35222,27.5,0.842,0.745
"AK","West",19933,129065,93099,35966,27.9,0.849,0.761
"AK","West",19934,130145,93522,36623,28.1,0.857,0.775
"AK","West",19941,131099,94109,36990,28.2,0.863,0.783
"AK","West",19942,131953,94857,37097,28.1,0.868,0.786
"AK","West",19943,132813,95654,37158,28,0.874,0.788
"AK","West",19944,133753,96419,37334,27.9,0.88,0.792
"AK","West",19951,134880,97070,37810,28,0.888,0.805
"AK","West",19751,52332,29171,23161,44.3,0.344,0.322
"AK","West",19752,55546,30453,25094,45.2,0.366,0.355
"AK","West",19753,58510,31854,26656,45.6,0.385,0.384
"AK","West",19754,61176,33294,27882,45.6,0.403,0.407
"AK","West",19761,63457,34648,28809,45.4,0.418,0.427
"AK","West",19762,65331,35867,29464,45.1,0.43,0.441
"AK","West",19763,66681,36963,29718,44.6,0.439,0.449
"AK","West",19764,67603,37910,29693,43.9,0.445,0.451
"AK","West",19771,68429,38519,29910,43.7,0.45,0.453
"AK","West",19772,69322,39262,30059,43.4,0.456,0.457
"AK","West",19773,70521,39992,30529,43.3,0.464,0.466
"AK","West",19774,72134,40751,31382,43.5,0.475,0.481
"AK","West",19781,74190,41757,32433,43.7,0.488,0.501
"AK","West",19782,76641,42776,33865,44.2,0.504,0.526
"AK","West",19783,79154,43946,35208,44.5,0.521,0.549
"AK","West",19784,81456,45321,36135,44.4,0.536,0.565
"AK","West",19791,83378,46711,36667,44,0.549,0.574
"AK","West",19792,84540,48208,36331,43,0.556,0.57
"AK","West",19793,84443,49540,34903,41.3,0.556,0.549
"AK","West",19794,83268,50484,32784,39.4,0.548,0.516
"AK","West",19801,81447,50784,30663,37.6,0.536,0.482
"AK","West",19802,79814,50858,28956,36.3,0.525,0.457
"AK","West",19803,80206,50823,29383,36.6,0.528,0.466
"AK","West",19804,83673,50925,32748,39.1,0.551,0.522
"AK","West",19811,89512,51501,38011,42.5,0.589,0.61
"AK","West",19812,97167,52468,44700,46,0.64,0.724
"AK","West",19813,105324,53770,51553,48.9,0.693,0.844
"AK","West",19814,112984,55365,57619,51,0.744,0.954
"AK","West",19821,119352,57329,62024,52,0.786,1.042
"AK","West",19822,124236,59317,64918,52.3,0.818,1.105
"AK","West",20023,170479,117290,53189,31.2,1.122,1.207
"AK","West",20024,172974,117697,55277,32,1.138,1.258
"AK","West",20031,175648,118060,57588,32.8,1.156,1.314
"AK","West",20032,178566,118401,60165,33.7,1.175,1.377
"AK","West",20033,181854,119204,62650,34.5,1.197,1.438
"AK","West",20034,185565,120943,64622,34.8,1.221,1.488
"AK","West",20041,189589,123856,65733,34.7,1.248,1.518
"AK","West",20042,193883,127564,66319,34.2,1.276,1.536
"AK","West",20043,198513,131520,66993,33.7,1.307,1.555
