,video_url,video_title,video_length[sec],video_frames[n],frame_sec[n/sec],frame_extracted[n],year,candidate_name,party
0,https://youtu.be/Y9RAxAgksSE,eisenhower_for_president_1952,62.09,1859,29.94040908358834,19,1952,DDE,republican
1,https://youtu.be/vs5ORK8RLWk,kennedy_for_me_campaign_jingle_jfk_1960,60.23,1789,29.702805910675746,18,1960,JFK,democratic
2,https://youtu.be/dDTBnsqxZ3k,high_quality_famous_daisy_attack_ad_from_1964_presidential_election,66.9,2003,29.940209267563525,21,1964,LBJ,democratic
3,https://youtu.be/Qwk_epMblW4,humphrey_laughing_at_spiro_agnew_1968_political_ad,19.25,575,29.87012987012987,6,1968,HH,republican
4,https://youtu.be/qVcFUIXEDZ8,mcgovern_defense_plan_ad_nixon_1972_presidential_campaign_commercial,60.05,1798,29.94171523730225,18,1972,RN,democratic
5,https://youtu.be/EU-IBF8nwSY,ronald_reagan_tv_ad_its_morning_in_america_again,59.95,1793,29.908256880733944,18,1984,RR,republican
6,https://youtu.be/PmwhdDv8VrM,1988_george_bush_sr_revolving_door_attack_ad_campaign,29.88,894,29.91967871485944,9,1988,GBS,republican
7,https://youtu.be/Xq_x3JUwrU0,bill_clinton_hope_ad_1992,60.26,1802,29.903750414868902,19,1992,BC,democratic
8,https://youtu.be/pbdzMLk9wHQ,historical_campaign_ad_windsurfing_bushcheney_04,30.09,900,29.91026919242273,9,2004,GBJ,republican
9,https://youtu.be/jjXyqcx-mYY,yes_we_can__barack_obama_music_video,270.21,3781,13.992820398948966,38,2008,BO,democratic
